Strength,SNR,Distance to Tower (km),Sim ,Primary Key,Location,Latitude,Longitude
-84.1197631,25.94008183,2.243176365,Jio,A,Shri Shanta Nikay,26.40005612,75.87741688
-87.80613083,15.93735398,5.0025665,Airtel,B,Shri Shanta Ayanam,26.39930654,75.87637619
-116.5751756,14.70938428,8.705973532,Vodafone Idea (Vi),C,Shri Shanta Sanjavanam,26.39798036,75.87785676
-82.9611829,21.72716509,7.42702455,BSNL,D,Shri Shanta Uthjam,26.39713466,75.87677315
-85.01257411,26.05815843,0.612070511,Jio,A,Shri Shanta Sthanam,26.39682714,75.87629035
-98.61869164,20.60673774,4.702561102,Airtel,B,Shri Shanta Lok,26.39827827,75.87598995
-74.13939862,15.5331438,1.667293216,Vodafone Idea (Vi),C,Shri Shanta Teertham,26.39724037,75.87564662
-50.23533096,23.89898281,1.165778848,BSNL,D,Guest House,26.40128619,75.87829665
-70.1030734,20.07036982,7.678126245,Jio,A,Nav Mandir,26.4024778,75.87793187
-97.60056369,23.43781426,4.972048795,Airtel,B,Pragya Mandir,26.402276,75.87728814
-99.65173579,14.24407071,9.157530851,Vodafone Idea (Vi),C,Banasthali Book Centre,26.40242014,75.87611869
-78.58596219,17.39178627,7.869592628,BSNL,D,New Market,26.40111321,75.87550715
-105.4742054,24.77049571,5.694189798,Jio,A,Gaushala,26.40509162,75.87826446
-77.20348668,23.31786404,7.328655657,Airtel,B,Utkarsh Mandir,26.4051685,75.87637619
-87.95391151,11.22192744,8.155694399,Vodafone Idea (Vi),C,Shiksha Mandir,26.40548561,75.87559298
-82.29876478,19.01832921,6.051086816,BSNL,D,Vigyan Mandir,26.40462075,75.87386564
-105.5434978,15.61590482,3.06940589,Jio,A,Judo Centre,26.40054623,75.87250308
-65.74131849,17.9516718,8.1784004,Airtel,B,Shri Shanta Gram,26.40050779,75.87181643
-93.13557136,19.60571147,2.883908464,Vodafone Idea (Vi),C,Shri Shanta Kulum,26.40092101,75.87202028
-77.06992052,24.83016112,6.014914422,BSNL,D,Shri Shanta Alay,26.4016898,75.87032512
-79.61500354,12.2102726,0.482598313,Jio,A,Shri Shanta Nikunj,26.40241053,75.8718057
-103.4370333,20.88623753,9.794610306,Airtel,B,Shri Shanta Vishwa Needam,26.40259312,75.8710976
-98.4673081,12.60994798,5.211485636,Vodafone Idea (Vi),C,Mukteshwari Canteen,26.40323697,75.87082938
-90.87582012,20.04625995,8.052938277,BSNL,D,Horse Riding Ground,26.40571624,75.8735545
-69.98998148,25.99040755,7.118560696,Jio,A,Jeev Mandir,26.40492826,75.87310389
-104.2605295,26.20766531,3.932568507,Airtel,B,Central Library,26.40433247,75.87225631
-75.85605804,16.63521937,1.640878909,Vodafone Idea (Vi),C,Surya Mandir,26.40469763,75.87134436
-107.0556421,29.21249558,8.446574371,BSNL,D,Shakuntalam Cricket Ground,26.40611983,75.87090448
-118.2439821,28.49208688,9.785868635,Jio,A,Swimming Pool,26.40610062,75.86979941
-72.44270204,13.05861522,2.180204112,Airtel,B,Banasthali Airstrip,26.40782069,75.86939171
-75.0376259,29.51516024,8.28782224,Vodafone Idea (Vi),C,Shri Shanta Ashray,26.40401535,75.86522892
-101.1453209,14.02888914,5.23405644,BSNL,D,Sharda Mandir,26.40687898,75.86595849
-82.24961791,22.24402245,2.997988072,Jio,A,Shri Shanta Nikay,26.40005612,75.87741688
-74.35762809,17.11528325,1.294108527,Airtel,B,Shri Shanta Ayanam,26.39930654,75.87637619
-101.5263501,16.19675728,1.17991491,Vodafone Idea (Vi),C,Shri Shanta Sanjavanam,26.39798036,75.87785676
-77.37150394,19.33172518,9.916495945,BSNL,D,Shri Shanta Uthjam,26.39713466,75.87677315
-61.19838828,22.80750064,5.183831015,Jio,A,Shri Shanta Sthanam,26.39682714,75.87629035
-73.69277248,27.63613405,2.73269379,Airtel,B,Shri Shanta Lok,26.39827827,75.87598995
-101.1608384,25.36936945,8.162018502,Vodafone Idea (Vi),C,Shri Shanta Teertham,26.39724037,75.87564662
-88.904164,21.722731,0.044317581,BSNL,D,Guest House,26.40128619,75.87829665
-91.09920856,22.17097699,3.095128823,Jio,A,Nav Mandir,26.4024778,75.87793187
-95.38048884,28.4560549,5.187183992,Airtel,B,Pragya Mandir,26.402276,75.87728814
-100.4690925,10.68383661,0.870091098,Vodafone Idea (Vi),C,Banasthali Book Centre,26.40242014,75.87611869
-81.37123922,16.84800596,5.083037619,BSNL,D,New Market,26.40111321,75.87550715
-88.39374508,29.32576765,9.574519723,Jio,A,Gaushala,26.40509162,75.87826446
-86.02447007,13.72168402,9.791714168,Airtel,B,Utkarsh Mandir,26.4051685,75.87637619
-78.15098888,19.62137464,1.526207246,Vodafone Idea (Vi),C,Shiksha Mandir,26.40548561,75.87559298
-85.22998593,18.63274416,8.467018446,BSNL,D,Vigyan Mandir,26.40462075,75.87386564
-66.34328631,18.7495037,2.418597919,Jio,A,Judo Centre,26.40054623,75.87250308
-76.10217419,16.75399366,3.224843161,Airtel,B,Shri Shanta Gram,26.40050779,75.87181643
-78.31107502,11.64687083,3.046275171,Vodafone Idea (Vi),C,Shri Shanta Kulum,26.40092101,75.87202028
-61.20556653,11.9730815,6.817464582,BSNL,D,Shri Shanta Alay,26.4016898,75.87032512
-98.42455882,24.7714156,0.926830201,Jio,A,Shri Shanta Nikunj,26.40241053,75.8718057
-102.3283031,27.26835027,8.123781805,Airtel,B,Shri Shanta Vishwa Needam,26.40259312,75.8710976
-59.47451787,21.86211459,3.513287481,Vodafone Idea (Vi),C,Mukteshwari Canteen,26.40323697,75.87082938
-98.84920512,29.0091571,5.588783506,BSNL,D,Horse Riding Ground,26.40571624,75.8735545
